Result Number,Local Granule ID,Entity ID,Acquisition Start Date,Acquisition End Date,Horizontal Tile Number,Vertical Tile Number,Day/Night Indicator,Version Number,Product Generation Algorithm,Auto Quality Flag,Auto Quality Flag Explanation,Science Quality Flag,Science Quality Flag Expln,Missing Data Percentage,Date Entered,Date Updated,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
31,MYD13A1.A2016105.h12v05.005.2016122022315.hdf,2223164389,2016/04/14,2016/04/29,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-05-02 02:10,0,2016/05/01,2016/05/02,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016105.h12v05.005,2223164389,https://earthexplorer.usgs.gov/browse/4318/2223164389
32,MYD13A1.A2016105.h11v05.005.2016122022801.hdf,2223167750,2016/04/14,2016/04/29,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-05-02 02:10,0,2016/05/01,2016/05/02,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016105.h11v05.005,2223167750,https://earthexplorer.usgs.gov/browse/4318/2223167750
33,MYD13A1.A2016089.h12v05.005.2016109120552.hdf,2219775911,2016/03/29,2016/04/13,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-04-19 02:18,0,2016/04/18,2016/04/19,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016089.h12v05.005,2219775911,https://earthexplorer.usgs.gov/browse/4318/2219775911
34,MYD13A1.A2016089.h11v05.005.2016109120659.hdf,2219764680,2016/03/29,2016/04/13,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-04-19 02:18,0,2016/04/18,2016/04/19,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016089.h11v05.005,2219764680,https://earthexplorer.usgs.gov/browse/4318/2219764680
35,MYD13A1.A2016073.h11v05.005.2016090022622.hdf,2216498808,2016/03/13,2016/03/28,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-03-31 02:12,0,2016/03/30,2016/04/05,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016073.h11v05.005,2216498808,https://earthexplorer.usgs.gov/browse/4318/2216498808
36,MYD13A1.A2016073.h12v05.005.2016090023103.hdf,2216499156,2016/03/13,2016/03/28,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-03-31 02:11,0,2016/03/30,2016/04/05,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016073.h12v05.005,2216499156,https://earthexplorer.usgs.gov/browse/4318/2216499156
37,MYD13A1.A2016057.h11v05.005.2016081100742.hdf,2216061737,2016/02/26,2016/03/12,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-03-22 02:10,0,2016/03/21,2016/03/22,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016057.h11v05.005,2216061737,https://earthexplorer.usgs.gov/browse/4318/2216061737
38,MYD13A1.A2016057.h12v05.005.2016081100558.hdf,2216061690,2016/02/26,2016/03/12,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-03-22 02:10,0,2016/03/21,2016/03/22,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016057.h12v05.005,2216061690,https://earthexplorer.usgs.gov/browse/4318/2216061690
39,MYD13A1.A2016041.h12v05.005.2016058012957.hdf,2214386493,2016/02/10,2016/02/25,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-02-28 02:10,0,2016/02/27,2016/02/28,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016041.h12v05.005,2214386493,https://earthexplorer.usgs.gov/browse/4318/2214386493
40,MYD13A1.A2016041.h11v05.005.2016058013419.hdf,2214373780,2016/02/10,2016/02/25,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-02-28 02:10,0,2016/02/27,2016/02/28,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016041.h11v05.005,2214373780,https://earthexplorer.usgs.gov/browse/4318/2214373780
41,MYD13A1.A2016025.h11v05.005.2016042011646.hdf,2212125315,2016/01/25,2016/02/09,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-02-12 02:10,0,2016/02/11,2016/02/12,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016025.h11v05.005,2212125315,https://earthexplorer.usgs.gov/browse/4318/2212125315
42,MYD13A1.A2016025.h12v05.005.2016042011627.hdf,2212127196,2016/01/25,2016/02/09,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-02-12 02:10,0,2016/02/11,2016/02/12,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016025.h12v05.005,2212127196,https://earthexplorer.usgs.gov/browse/4318/2212127196
43,MYD13A1.A2016009.h11v05.005.2016026074458.hdf,2207274786,2016/01/09,2016/01/24,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-01-27 02:25,0,2016/01/26,2016/01/27,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2016009.h11v05.005,2207274786,https://earthexplorer.usgs.gov/browse/4318/2207274786
44,MYD13A1.A2016009.h12v05.005.2016026075051.hdf,2207277698,2016/01/09,2016/01/24,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-01-27 02:26,0,2016/01/26,2016/01/27,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2016009.h12v05.005,2207277698,https://earthexplorer.usgs.gov/browse/4318/2207277698
45,MYD13A1.A2015361.h11v05.005.2016013125709.hdf,2206936309,2015/12/27,2016/01/11,11,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-01-26 02:17,0,2016/01/25,2016/01/26,35°03'08.28"N,79°55'26.04"W,40°00'00.00"N,91°22'42.60"W,40°03'14.40"N,78°06'38.16"W,29°53'31.20"N,69°02'12.48"W,29°50'45.24"N,80°45'56.88"W,35.0523,-79.9239,40,-91.3785,40.054,-78.1106,29.892,-69.0368,29.8459,-80.7658,MYD13A1.A2015361.h11v05.005,2206936309,https://earthexplorer.usgs.gov/browse/4318/2206936309
46,MYD13A1.A2015361.h12v05.005.2016013130650.hdf,2206927374,2015/12/27,2016/01/11,12,5,Day,5,5.2.20,Passed,No automatic quality assessment is performed in the PGE,Inferred Passed,http://landweb.nascom.nasa.gov/cgi-bin/QA_WWW/detailInfo.cgi?prod_id=MYD13A1&ver=C5.2016-01-26 02:16,0,2016/01/25,2016/01/26,35°03'01.08"N,67°37'00.84"W,40°00'00.00"N,78°19'27.84"W,40°02'40.92"N,65°03'48.60"W,29°53'17.88"N,57°30'30.96"W,29°51'02.16"N,69°13'46.20"W,35.0503,-67.6169,40,-78.3244,40.0447,-65.0635,29.8883,-57.5086,29.8506,-69.2295,MYD13A1.A2015361.h12v05.005,2206927374,https://earthexplorer.usgs.gov/browse/4318/2206927374
